Year,Team,W,L,G,RUNS,AVG,SF,OBP,SLG,RBI,AB,H,RBI,HR,2B,3B,BB,SO,CS,CS%,SB,SB%,FLY,GRND,KL,SH,SBA,CSB,FIELD%,A,E,PO,PB,DB,TP,IP,ER,BF,WP,SHO,2B,3B,HR,BB,SO,HBP,ERA
2010,Akron Racers,24,25,49,179,0.236,32,0.294,0.273,140,1313,310,140,0,43,3,105,269,20,0.241,63,0.759,0,0,0,0,63,0,0.958482462,329,58,1010,4,32,0,333,162,0,0,0,55,1,0,153,0,0,3.41
2010,Chicago Bandits,30,20,50,212,0.262,27,0.329,0.32,183,1331,349,183,0,69,4,133,235,24,0.333,48,0.667,0,0,0,0,50,0,0.961130742,346,55,1014,15,22,0,335,134,0,0,0,57,4,0,122,0,0,2.8
2010,Tennessee Diamonds,16,33,49,149,0.227,36,0.283,0.272,131,1271,288,131,0,44,7,104,313,17,0.315,37,0.685,0,0,0,0,66,0,0.939501779,344,85,976,9,29,0,319,141,0,0,0,52,4,0,114,0,0,3.09
2010,USSSA Pride,28,20,48,197,0.253,21,0.333,0.303,172,1267,320,172,0,56,4,137,248,9,0.148,52,0.852,0,0,0,0,58,0,0.963556851,352,50,970,9,46,0,330,117,0,0,0,48,9,0,90,0,0,2.48
2011,Akron Racers,22,17,39,124,0.23,22,0.305,0.257,98,1023,235,98,0,24,2,103,246,16,0.39,25,0.61,0,0,0,0,48,0,0.971590909,214,30,812,6,15,0,269,120,0,0,0,27,2,0,107,0,0,3.12
2011,Chicago Bandits,20,20,40,157,0.24,19,0.32,0.284,141,1081,259,141,0,38,5,118,244,19,0.322,40,0.678,0,0,0,0,31,0,0.969644406,287,35,831,12,23,0,277,117,0,0,0,30,6,0,113,0,0,2.96
2011,NPF Diamonds,6,32,38,83,0.166,7,0.254,0.192,74,955,159,74,0,22,1,101,268,4,0.444,5,0.556,0,0,0,0,61,0,0.961538462,279,40,721,28,27,0,232,167,0,0,0,38,4,0,142,0,0,5.04
2011,USSSA Pride,30,9,39,221,0.313,26,0.385,0.362,194,1104,346,194,0,44,5,123,176,15,0.214,55,0.786,0,0,0,0,19,0,0.981149859,237,20,804,7,16,0,273,65,0,0,0,26,1,0,76,0,0,1.67
2012,Akron Racers,14,30,44,174,0.237,16,0.335,0.279,152,1180,280,152,0,43,3,138,277,10,0.244,31,0.756,0,0,0,0,46,0,0.964451314,362,46,886,9,35,0,282,211,0,0,0,46,7,0,121,0,0,5.24
2012,Carolina Diamonds,17,26,43,177,0.249,10,0.331,0.285,166,1204,300,166,0,35,4,128,318,3,0.3,7,0.7,0,0,0,0,52,0,0.95465587,320,56,859,24,41,0,289,184,0,0,0,38,7,0,165,0,0,4.46
2012,Chicago Bandits,24,19,43,196,0.256,24,0.341,0.311,166,1168,299,166,0,46,9,137,253,20,0.385,32,0.615,0,0,0,0,14,0,0.977252843,234,26,883,19,27,0,286,190,0,0,0,46,4,0,156,0,0,4.65
2012,USSSA Pride,31,11,42,254,0.298,25,0.388,0.343,224,1147,342,224,0,37,7,146,226,17,0.246,52,0.754,0,0,0,0,30,0,0.971880492,245,32,861,12,18,0,286,94,0,0,0,31,5,0,107,0,0,2.3
2013,Akron Racers,16,32,48,192,0.251,15,0.344,0.288,177,1255,315,177,0,38,4,164,284,11,0.275,29,0.725,0,0,0,0,48,0,0.961401001,391,54,954,10,47,0,304,229,0,0,0,73,8,0,158,0,0,5.27
2013,Chicago Bandits,36,12,48,273,0.305,28,0.386,0.372,247,1352,413,247,0,60,15,170,237,10,0.169,49,0.831,0,0,0,0,26,0,0.973149492,345,37,996,16,60,0,326,97,0,0,0,38,3,0,119,0,0,2.08
2013,NY/NJ Comets,10,38,48,129,0.222,19,0.309,0.251,106,1246,276,106,0,33,2,132,375,13,0.619,8,0.381,0,0,0,0,56,0,0.961778471,323,49,910,22,32,0,292,282,0,0,0,49,9,0,218,0,0,6.76
2013,USSSA Pride,34,14,48,264,0.308,14,0.388,0.363,238,1343,414,238,0,63,5,157,211,15,0.242,47,0.758,0,0,0,0,26,0,0.971473851,250,36,976,16,18,0,329,111,0,0,0,34,6,0,128,0,0,2.36
